No,Fields Name,OID,Type,Deskripsi,Status
1,0,iso.0.8802.1.1.2.1.3.3.0,STRING,System metric,FALSE
2,0,iso.0.8802.1.1.2.1.3.4.0,STRING,System metric,FALSE
3,0,iso.0.8802.1.1.2.1.3.5.0,STRING,System metric,FALSE
4,0,iso.0.8802.1.1.2.1.3.6.0,STRING,System metric,FALSE
5,1,iso.0.8802.1.1.2.1.3.7.1.2.1,INTEGER,System metric,FALSE
6,alarm_table` (walk),iso.0.8802.1.1.2.1.3.7.1.2.2,INTEGER,Each active alarm: ID + description,FALSE
7,3,iso.0.8802.1.1.2.1.3.7.1.2.3,INTEGER,System metric,FALSE
8,4,iso.0.8802.1.1.2.1.3.7.1.2.4,INTEGER,System metric,FALSE
9,5,iso.0.8802.1.1.2.1.3.7.1.2.5,INTEGER,System metric,FALSE
10,6,iso.0.8802.1.1.2.1.3.7.1.2.6,INTEGER,System metric,FALSE
11,7,iso.0.8802.1.1.2.1.3.7.1.2.7,INTEGER,System metric,FALSE
12,8,iso.0.8802.1.1.2.1.3.7.1.2.8,INTEGER,System metric,FALSE
13,9,iso.0.8802.1.1.2.1.3.7.1.2.9,INTEGER,System metric,FALSE
14,10,iso.0.8802.1.1.2.1.3.7.1.2.10,INTEGER,System metric,FALSE
15,11,iso.0.8802.1.1.2.1.3.7.1.2.11,INTEGER,System metric,FALSE
16,12,iso.0.8802.1.1.2.1.3.7.1.2.12,INTEGER,System metric,FALSE
17,13,iso.0.8802.1.1.2.1.3.7.1.2.13,INTEGER,System metric,FALSE
18,14,iso.0.8802.1.1.2.1.3.7.1.2.14,INTEGER,System metric,FALSE
19,15,iso.0.8802.1.1.2.1.3.7.1.2.15,INTEGER,System metric,FALSE
20,16,iso.0.8802.1.1.2.1.3.7.1.2.16,INTEGER,System metric,FALSE
21,17,iso.0.8802.1.1.2.1.3.7.1.2.17,INTEGER,System metric,FALSE
22,18,iso.0.8802.1.1.2.1.3.7.1.2.18,INTEGER,System metric,FALSE
23,26,iso.0.8802.1.1.2.1.3.7.1.2.26,INTEGER,System metric,FALSE
24,28,iso.0.8802.1.1.2.1.3.7.1.2.28,INTEGER,System metric,FALSE
25,30,iso.0.8802.1.1.2.1.3.7.1.2.30,INTEGER,System metric,FALSE
26,31,iso.0.8802.1.1.2.1.3.7.1.2.31,INTEGER,System metric,FALSE
27,32,iso.0.8802.1.1.2.1.3.7.1.2.32,INTEGER,System metric,FALSE
28,33,iso.0.8802.1.1.2.1.3.7.1.2.33,INTEGER,System metric,FALSE
29,34,iso.0.8802.1.1.2.1.3.7.1.2.34,INTEGER,System metric,FALSE
30,35,iso.0.8802.1.1.2.1.3.7.1.2.35,INTEGER,System metric,FALSE
31,36,iso.0.8802.1.1.2.1.3.7.1.2.36,INTEGER,System metric,FALSE
32,41,iso.0.8802.1.1.2.1.3.7.1.2.41,INTEGER,System metric,FALSE
33,43,iso.0.8802.1.1.2.1.3.7.1.2.43,INTEGER,System metric,FALSE
34,45,iso.0.8802.1.1.2.1.3.7.1.2.45,INTEGER,System metric,FALSE
35,1,iso.0.8802.1.1.2.1.3.7.1.3.1,STRING,System metric,FALSE
36,2,iso.0.8802.1.1.2.1.3.7.1.3.2,STRING,System metric,FALSE
37,3,iso.0.8802.1.1.2.1.3.7.1.3.3,STRING,System metric,FALSE
38,4,iso.0.8802.1.1.2.1.3.7.1.3.4,STRING,System metric,FALSE
39,5,iso.0.8802.1.1.2.1.3.7.1.3.5,STRING,System metric,FALSE
40,6,iso.0.8802.1.1.2.1.3.7.1.3.6,STRING,System metric,FALSE
41,7,iso.0.8802.1.1.2.1.3.7.1.3.7,STRING,System metric,FALSE
42,8,iso.0.8802.1.1.2.1.3.7.1.3.8,STRING,System metric,FALSE
43,9,iso.0.8802.1.1.2.1.3.7.1.3.9,STRING,System metric,FALSE
44,10,iso.0.8802.1.1.2.1.3.7.1.3.10,STRING,System metric,FALSE
45,11,iso.0.8802.1.1.2.1.3.7.1.3.11,STRING,System metric,FALSE
46,12,iso.0.8802.1.1.2.1.3.7.1.3.12,STRING,System metric,FALSE
47,13,iso.0.8802.1.1.2.1.3.7.1.3.13,STRING,System metric,FALSE
