No,Fields Name,Path,Type,Deskripsi,Status
1,deviceName,ISAPI,XML Field,,TRUE
2,deviceID,ISAPI,XML Field,,TRUE
3,model,ISAPI,XML Field,,TRUE
4,serialNumber,ISAPI,XML Field,,TRUE
5,macAddress,ISAPI,XML Field,,TRUE
6,firmwareVersion,ISAPI,XML Field,,TRUE
7,firmwareReleasedDate,ISAPI,XML Field,,TRUE
8,encoderVersion,ISAPI,XML Field,,TRUE
9,encoderReleasedDate,ISAPI,XML Field,Technical parameter,FALSE
10,deviceType,ISAPI,XML Field,Technical parameter,FALSE
11,telecontrolID,ISAPI,XML Field,Technical parameter,FALSE
12,hardwareVersion,ISAPI,XML Field,Technical parameter,FALSE
13,manufacturer,ISAPI,XML Field,Technical parameter,FALSE
14,currentDeviceTime,ISAPI,XML Field,,TRUE
15,deviceUpTime,ISAPI,XML Field,,TRUE
16,cpuDescription,ISAPI,XML Field,Technical parameter,FALSE
17,cpuUtilization,ISAPI,XML Field,,FALSE
18,memoryDescription,ISAPI,XML Field,Technical parameter,FALSE
19,memoryUsage,ISAPI,XML Field,Technical parameter,FALSE
20,memoryAvailable,ISAPI,XML Field,Technical parameter,FALSE
21,id,ISAPI,XML Field,Technical parameter,FALSE
22,hddName,ISAPI,XML Field,Technical parameter,FALSE
23,hddType,ISAPI,XML Field,Technical parameter,FALSE
24,status,ISAPI,XML Field,Technical parameter,FALSE
25,capacity,ISAPI,XML Field,Technical parameter,FALSE
26,freeSpace,ISAPI,XML Field,Technical parameter,FALSE
27,property,ISAPI,XML Field,Technical parameter,FALSE
28,id,ISAPI,XML Field,Technical parameter,FALSE
29,hddName,ISAPI,XML Field,Technical parameter,FALSE
30,hddType,ISAPI,XML Field,Technical parameter,FALSE
31,status,ISAPI,XML Field,Technical parameter,FALSE
32,capacity,ISAPI,XML Field,Technical parameter,FALSE
33,freeSpace,ISAPI,XML Field,Technical parameter,FALSE
34,property,ISAPI,XML Field,Technical parameter,FALSE
35,id,ISAPI,XML Field,Technical parameter,FALSE
36,hddName,ISAPI,XML Field,Technical parameter,FALSE
37,hddType,ISAPI,XML Field,Technical parameter,FALSE
38,status,ISAPI,XML Field,Technical parameter,FALSE
39,capacity,ISAPI,XML Field,Technical parameter,FALSE
40,freeSpace,ISAPI,XML Field,Technical parameter,FALSE
41,property,ISAPI,XML Field,Technical parameter,FALSE
42,id,ISAPI,XML Field,Technical parameter,FALSE
43,hddName,ISAPI,XML Field,Technical parameter,FALSE
44,hddType,ISAPI,XML Field,Technical parameter,FALSE
45,status,ISAPI,XML Field,Technical parameter,FALSE
46,capacity,ISAPI,XML Field,Technical parameter,FALSE
47,freeSpace,ISAPI,XML Field,Technical parameter,FALSE
48,property,ISAPI,XML Field,Technical parameter,FALSE
49,requestURL,ISAPI,XML Field,Technical parameter,FALSE
50,statusCode,ISAPI,XML Field,Technical parameter,FALSE
51,statusString,ISAPI,XML Field,Technical parameter,FALSE
52,subStatusCode,ISAPI,XML Field,Technical parameter,FALSE
53,id,ISAPI,XML Field,Technical parameter,FALSE
54,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
55,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
56,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
57,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
58,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
59,userName,ISAPI,XML Field,Technical parameter,FALSE
60,streamType,ISAPI,XML Field,Technical parameter,FALSE
61,online,ISAPI,XML Field,Technical parameter,FALSE
62,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
63,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
64,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
65,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
66,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
