No,Fields Name,Path,Type,Deskripsi,Status
1,deviceName,ISAPI,XML Field,,TRUE
2,deviceID,ISAPI,XML Field,,TRUE
3,model,ISAPI,XML Field,,TRUE
4,serialNumber,ISAPI,XML Field,,TRUE
5,macAddress,ISAPI,XML Field,,TRUE
6,firmwareVersion,ISAPI,XML Field,,TRUE
7,firmwareReleasedDate,ISAPI,XML Field,,TRUE
8,encoderVersion,ISAPI,XML Field,,TRUE
9,encoderReleasedDate,ISAPI,XML Field,,FALSE
10,deviceType,ISAPI,XML Field,,FALSE
11,telecontrolID,ISAPI,XML Field,,FALSE
12,hardwareVersion,ISAPI,XML Field,,FALSE
13,manufacturer,ISAPI,XML Field,,FALSE
14,currentDeviceTime,ISAPI,XML Field,,TRUE
15,deviceUpTime,ISAPI,XML Field,,TRUE
16,cpuDescription,ISAPI,XML Field,,FALSE
17,cpuUtilization,ISAPI,XML Field,,FALSE
18,memoryDescription,ISAPI,XML Field,,FALSE
19,memoryUsage,ISAPI,XML Field,,FALSE
20,memoryAvailable,ISAPI,XML Field,,FALSE
21,id,ISAPI,XML Field,,FALSE
22,hddName,ISAPI,XML Field,,FALSE
23,hddType,ISAPI,XML Field,,FALSE
24,Status,ISAPI,XML Field,,FALSE
25,capacity,ISAPI,XML Field,,FALSE
26,freeSpace,ISAPI,XML Field,,FALSE
27,property,ISAPI,XML Field,,FALSE
28,id,ISAPI,XML Field,,FALSE
29,hddName,ISAPI,XML Field,,FALSE
30,hddType,ISAPI,XML Field,,FALSE
31,Status,ISAPI,XML Field,,FALSE
32,capacity,ISAPI,XML Field,,FALSE
33,freeSpace,ISAPI,XML Field,,FALSE
34,property,ISAPI,XML Field,,FALSE
35,id,ISAPI,XML Field,,FALSE
36,hddName,ISAPI,XML Field,,FALSE
37,hddType,ISAPI,XML Field,,FALSE
38,Status,ISAPI,XML Field,,FALSE
39,capacity,ISAPI,XML Field,,FALSE
40,freeSpace,ISAPI,XML Field,,FALSE
41,property,ISAPI,XML Field,,FALSE
42,id,ISAPI,XML Field,,FALSE
43,hddName,ISAPI,XML Field,,FALSE
44,hddType,ISAPI,XML Field,,FALSE
45,Status,ISAPI,XML Field,,FALSE
46,capacity,ISAPI,XML Field,,FALSE
47,freeSpace,ISAPI,XML Field,,FALSE
48,property,ISAPI,XML Field,,FALSE
49,requestURL,ISAPI,XML Field,,FALSE
50,statusCode,ISAPI,XML Field,,FALSE
51,statusString,ISAPI,XML Field,,FALSE
52,subStatusCode,ISAPI,XML Field,,FALSE
53,id,ISAPI,XML Field,,FALSE
54,proxyProtocol,ISAPI,XML Field,,FALSE
55,addressingFormatType,ISAPI,XML Field,,FALSE
56,ipAddress,ISAPI,XML Field,,FALSE
57,managePortNo,ISAPI,XML Field,,FALSE
58,srcInputPort,ISAPI,XML Field,,FALSE
59,userName,ISAPI,XML Field,,FALSE
60,streamType,ISAPI,XML Field,,FALSE
61,online,ISAPI,XML Field,,FALSE
62,streamingProxyChannelId,ISAPI,XML Field,,FALSE
63,streamingProxyChannelId,ISAPI,XML Field,,FALSE
64,inputProxyPortIdList,ISAPI,XML Field,,FALSE
65,outputProxyPortIdList,ISAPI,XML Field,,FALSE
66,chanDetectResult,ISAPI,XML Field,,FALSE
67,PasswordStatus,ISAPI,XML Field,,FALSE
68,id,ISAPI,XML Field,,FALSE
69,proxyProtocol,ISAPI,XML Field,,FALSE
70,addressingFormatType,ISAPI,XML Field,,FALSE
71,ipAddress,ISAPI,XML Field,,FALSE
72,managePortNo,ISAPI,XML Field,,FALSE
73,srcInputPort,ISAPI,XML Field,,FALSE
74,userName,ISAPI,XML Field,,FALSE
75,streamType,ISAPI,XML Field,,FALSE
76,online,ISAPI,XML Field,,FALSE
77,streamingProxyChannelId,ISAPI,XML Field,,FALSE
78,streamingProxyChannelId,ISAPI,XML Field,,FALSE
79,inputProxyPortIdList,ISAPI,XML Field,,FALSE
